"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","www.ac-limoges.fr/192.229.210.215","443","INFO","HTTP","",""
"pre_128cipher","www.ac-limoges.fr/192.229.210.215","443","INFO","No 128 cipher limit bug","",""
"SSLv2","www.ac-limoges.fr/192.229.210.215","443","OK","not offered","",""
"SSLv3","www.ac-limoges.fr/192.229.210.215","443","OK","not offered","",""
"TLS1","www.ac-limoges.fr/192.229.210.215","443","INFO","not offered","",""
"TLS1_1","www.ac-limoges.fr/192.229.210.215","443","INFO","not offered","",""
"TLS1_2","www.ac-limoges.fr/192.229.210.215","443","OK","offered","",""
"TLS1_3","www.ac-limoges.fr/192.229.210.215","443","OK","offered with final","",""
"ALPN_HTTP2","www.ac-limoges.fr/192.229.210.215","443","OK","h2","",""
"ALPN","www.ac-limoges.fr/192.229.210.215","443","INFO","http/1.1","",""
"cipherlist_NULL","www.ac-limoges.fr/192.229.210.215","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","www.ac-limoges.fr/192.229.210.215","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","www.ac-limoges.fr/192.229.210.215","443","OK","not offered","","CWE-327"
"cipherlist_LOW","www.ac-limoges.fr/192.229.210.215","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","www.ac-limoges.fr/192.229.210.215","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","www.ac-limoges.fr/192.229.210.215","443","LOW","offered","","CWE-310"
"cipherlist_STRONG_NOFS","www.ac-limoges.fr/192.229.210.215","443","OK","offered","",""
"cipherlist_STRONG_FS","www.ac-limoges.fr/192.229.210.215","443","OK","offered","",""
"cipher_order-tls1_2","www.ac-limoges.fr/192.229.210.215","443","OK","server","",""
"cipherorder_TLSv1_2","www.ac-limoges.fr/192.229.210.215","443","INFO","ECDHE-RSA-AES128-GCM-SHA256","",""
"cipher_order","www.ac-limoges.fr/192.229.210.215","443","OK","server","",""
"FS","www.ac-limoges.fr/192.229.210.215","443","OK","offered","",""
"FS_ciphers","www.ac-limoges.fr/192.229.210.215","443","INFO","DHE-RSA-AES128-GCM-SHA256 DHE-RSA-AES128-SHA256 DHE-RSA-AES128-SHA DHE-RSA-AES256-GCM-SHA384 DHE-RSA-AES256-SHA256 DHE-RSA-AES256-SHA DHE-RSA-CAMELLIA128-SHA DHE-RSA-CAMELLIA256-SHA DHE-RSA-SEED-SHA ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES128-SHA256 ECDHE-RSA-AES128-SHA ECDHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES256-SHA384 ECDHE-RSA-AES256-SHA","",""
"FS_ECDHE_curves","www.ac-limoges.fr/192.229.210.215","443","OK","prime256v1","",""
"TLS_extensions","www.ac-limoges.fr/192.229.210.215","443","INFO","'renegotiation info/#65281' 'EC point formats/#11' 'session ticket/#35' 'status request/#5' 'next protocol/#13172' 'supported versions/#43' 'key share/#51' 'max fragment length/#1' 'application layer protocol negotiation/#16' 'encrypt-then-mac/#22' 'extended master secret/#23'","",""
"TLS_session_ticket","www.ac-limoges.fr/192.229.210.215","443","INFO","valid for 7200 seconds only (<daily)","",""
"SSL_sessionID_support","www.ac-limoges.fr/192.229.210.215","443","INFO","yes","",""
"sessionresumption_ticket","www.ac-limoges.fr/192.229.210.215","443","INFO","not supported","",""
"sessionresumption_ID","www.ac-limoges.fr/192.229.210.215","443","INFO","not supported","",""
"TLS_timestamp","www.ac-limoges.fr/192.229.210.215","443","INFO","random","",""
"certificate_compression","www.ac-limoges.fr/192.229.210.215","443","INFO","none","",""
"clientAuth","www.ac-limoges.fr/192.229.210.215","443","INFO","none","",""
"cert_numbers","www.ac-limoges.fr/192.229.210.215","443","INFO","1","",""
"cert_signatureAlgorithm","www.ac-limoges.fr/192.229.210.215","443","OK","SHA384 with RSA","",""
"cert_keySize","www.ac-limoges.fr/192.229.210.215","443","INFO","RSA 2048 bits (exponent is 65537)","",""
